Sunnyside School Rain Gage - 3421 SE. Salmon St.



PROVISIONAL, UNCORRECTED RAW DATA FROM THE CITY OF PORTLAND HYDRA NETWORK.

Data are the number of tips of the rain gage bucket.

Each tip is 0.01 inches of rainfall.

 [-, missing data]

Dates and times are PACIFIC STANDARD TIME.



            Daily  Hourly data -->

   Date     Total    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
08-FEB-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

07-FEB-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

06-FEB-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

05-FEB-2016    27    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2  18   7   0   0   0   0

04-FEB-2016    74    6   3   1   3   5   5   5   8  18  10   7   3   0   0   0   0   0   0   0   0   0   0   0   0

03-FEB-2016    26    0   0   0   0   0   0   0   0   0   0   0   2   6   6   4   2   3   0   0   0   0   0   0   3

02-FEB-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

01-FEB-2016     8    0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   1   5   1   0   0   0   0

31-JAN-2016    12    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3   8   1   0   0

30-JAN-2016    17    0   0   0   8   0   0   0   0   0   0   0   0   0   0   2   1   0   0   6   0   0   0   0   0

29-JAN-2016    47    0   0   0   0   4   5  11   6   1   0   0   1   1   0   0   1   4   2   3   2   1   4   0   1

28-JAN-2016    85    1   7   3   4   8  11  10  28   6   0   7   0   0   0   0   0   0   0   0   0   0   0   0   0

27-JAN-2016     5    0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   1   3   0   0

26-JAN-2016     8    0   0   0   0   0   0   0   1   0   5   1   1   0   0   0   0   0   0   0   0   0   0   0   0

25-JAN-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

24-JAN-2016     1    0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0

23-JAN-2016    29    0   8  10   0   0   0   0   0   3   4   0   2   0   0   1   0   0   0   0   1   0   0   0   0

22-JAN-2016    38    7   7   7  14   2   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

21-JAN-2016    32    0   2   8   6   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   5   8

20-JAN-2016    10    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   3   5   1

